RK,Team,CONF,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,3PR,3PRD,ADJ_T,WAB,SEED
235,Old Dominion,SB,33,12,106.2,112.4,.3408,50.7,50.8,15.4,14.5,26.0,30.3,34.7,42.0,48.8,52.4,36.0,32.0,36.2,36.4,68.9,-15.5,
236,Eastern Michigan,MAC,31,10,101.6,107.7,.3385,49.6,50.3,17.4,15.6,27.8,29.1,29.3,35.5,50.0,50.8,32.4,32.9,31.8,35.6,66.5,-14.7,
237,Florida Gulf Coast,ASun,34,16,105.2,111.5,.3367,52.0,53.4,15.9,16.5,31.1,28.2,29.1,38.3,53.3,53.6,33.2,35.4,38.4,46.2,67.6,-13.4,
238,Nebraska Omaha,Sum,33,16,106.0,112.6,.3343,52.2,52.7,16.1,14.1,25.5,28.7,34.5,33.6,53.0,55.6,34.0,32.9,40.9,45.5,67.1,-12.3,
239,Long Beach St.,BW,32,10,104.3,110.8,.3325,50.6,53.7,18.0,17.5,26.2,27.8,30.7,42.3,51.5,54.8,32.7,34.4,34.8,35.3,68.4,-15.7,
240,Saint Peter's,MAAC,29,17,103.2,109.8,.3303,46.4,48.1,17.7,20.0,37.0,34.7,35.5,46.4,46.2,48.0,31.0,32.1,38.7,35.5,65.5,-8.4,
241,Radford,BSth,32,16,106.4,113.2,.3284,51.3,53.0,17.1,18.5,29.8,32.2,42.4,40.0,52.3,52.9,33.5,35.5,45.4,37.9,70.7,-11.8,
242,American,Pat,32,16,105.2,112.2,.3237,51.5,54.4,15.6,19.2,26.9,29.4,28.7,42.1,53.3,55.1,33.0,35.5,46.5,37.0,66.7,-11.6,
243,Iona,MAAC,32,18,103.9,110.8,.3231,51.9,48.9,17.2,16.6,27.8,31.2,29.3,28.8,51.2,51.0,35.1,30.6,45.9,40.7,69.1,-10.4,
244,Central Michigan,MAC,31,10,106.5,113.5,.3231,51.8,54.0,18.1,17.0,29.2,34.3,31.4,39.0,52.2,54.4,33.9,35.5,34.0,38.4,67.1,-15.4,
245,Boston University,Pat,34,17,111.7,119.2,.3217,57.5,53.6,17.8,13.0,28.0,28.0,31.4,30.5,56.9,52.8,38.8,36.6,43.8,40.6,63.1,-13.7,
246,Colgate,Pat,33,18,107.4,114.7,.3190,53.3,52.2,14.6,15.3,26.6,29.3,29.7,33.8,53.2,52.2,35.6,34.8,35.0,41.7,66.8,-10.0,
247,Nicholls St.,Slnd,33,14,104.8,112.0,.3185,50.6,54.4,17.4,20.5,28.1,33.7,34.5,37.9,51.2,56.0,33.3,34.6,43.9,38.7,68.2,-12.8,
248,UC Riverside,BW,32,10,103.6,110.7,.3180,48.9,52.7,19.0,15.5,27.8,30.0,35.0,40.9,49.9,53.8,31.6,33.5,38.3,31.7,68.5,-15.3,
249,Southern,SWAC,34,17,106.1,113.4,.3163,49.1,53.2,16.5,18.6,31.4,31.3,39.8,42.9,47.7,52.1,34.8,36.7,32.1,37.5,69.8,-11.0,
250,Princeton,Ivy,29,9,105.0,112.4,.3148,49.6,52.0,17.1,14.3,27.2,28.5,34.6,34.0,48.6,55.7,33.9,31.1,44.5,41.4,63.9,-14.9,
251,Lamar,Slnd,31,12,102.8,110.1,.3139,47.8,50.9,18.1,17.3,35.7,29.4,27.9,44.4,47.0,49.7,32.9,35.3,33.9,37.5,65.4,-14.1,
252,Charleston Southern,BSth,32,15,104.8,112.2,.3138,54.1,46.9,18.5,12.8,29.4,30.3,30.5,43.3,54.6,46.6,35.6,31.9,49.5,31.3,71.6,-13.3,
253,Southeast Missouri St.,OVC,33,20,101.1,108.2,.3137,49.8,48.8,16.9,18.1,29.6,28.2,38.8,48.0,51.8,48.4,30.9,33.1,36.0,33.2,68.9,-9.3,
254,Pepperdine,WCC,32,9,105.6,113.2,.3100,47.6,54.2,18.3,16.5,29.1,34.0,33.8,28.5,48.0,54.9,31.4,35.5,39.2,40.3,68.4,-15.1,
